Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",196.230000,-114.267500,90.000000,bottom
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.970000,-114.250000,90.000000,bottom
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.350000,-101.410000,180.000000,bottom
"C4","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",195.310000,-111.240000,0.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.660000,-100.240000,90.000000,bottom
"C12","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.730000,-93.427500,90.000000,bottom
"C13","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",171.490000,-107.700000,0.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",171.490000,-105.530000,0.000000,bottom
"C15","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",177.030000,-95.750000,90.000000,bottom
"C16","10uF","CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder",175.020000,-95.950000,90.000000,bottom
"C17","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",179.250000,-95.750000,90.000000,bottom
"C20","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.450000,-110.327500,-90.000000,bottom
"C21","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.290000,-110.327500,-90.000000,bottom
"C22","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.940000,-103.027500,90.000000,bottom
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.180000,-107.510000,90.000000,bottom
"D6","PESD1CAN","PESD1CAN",191.080000,-82.125000,90.000000,bottom
"D7","BAT760-7","BAT760-7",161.170000,-107.240000,-90.000000,bottom
"R1","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.350000,-103.470000,0.000000,bottom
"R2","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.590000,-100.200000,-90.000000,bottom
"R3","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.050000,-113.910000,180.000000,bottom
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.050000,-111.850000,180.000000,bottom
"R5","120Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.650000,-120.300000,180.000000,bottom
"R6","120Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.650000,-123.300000,180.000000,bottom
"R9","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.880000,-78.690000,180.000000,bottom
"R10","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.880000,-82.590000,180.000000,bottom
"R14","120Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.650000,-117.300000,180.000000,bottom
"R15","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.030000,-98.720000,0.000000,bottom
"R16","120Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.420000,-78.795000,-90.000000,bottom
"U3","AMS1117","SOT-223-3_TabPin2",170.427500,-99.910000,-90.000000,bottom
"U4","TJA1050","TJA1050T",184.950000,-82.095000,90.000000,bottom
"U5","MCP2515-I_SO","MCP2515",187.230000,-90.830000,-90.000000,bottom
