Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22uF,
"C10, C14, C23, C3, C5, C6, C8",0805,7,100nF,
C11,0805,1,100pF,
"C12, C13, C2, C20, C21, C22, C4, C7, C9",0805,9,10uF,
"C15, C17",0805,2,0.1uF,
C16,CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder,1,10uF,
"C18, C19",0805,2,22pF,
"D1, D2, D5",0805,3,LED,
D3,SS34,1,SS34,
D4,MM3Z10VT1G,1,MM3Z10V,
D6,PESD1CAN,1,PESD1CAN,
D7,BAT760-7,1,BAT760-7,
F1,Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal,1,0.5A,
J1,COMTECH_C-OBD-II-16M,1,C-OBD-II-16M,
"J2, J3",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,
J4,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
L1,L_Cenker_CKCS6028,1,4.7uH,
Q1,IRF5305S,1,IRF5305S,
"Q2, Q3",TRANS_SS8050-G,2,SS8050-G,
"R1, R15, R18, R19, R2",0805,5,10kΩ,
"R10, R17",0805,2,1kΩ,
"R11, R12, R7, R8, R9",0805,5,100kΩ,
R13,0805,1,8.2kΩ,
"R14, R16, R5, R6",0805,4,120Ω,
"R3, R4",0805,2,1k,
RV1,Potenciometer,1,200kΩ,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,
SW3,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT_321,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,MP1584EN,1,MP1584EN,
U3,SOT-223-3_TabPin2,1,AMS1117,
U4,TJA1050T,1,TJA1050,
U5,MCP2515,1,MCP2515-I_SO,
U6,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
Y1,Crystal_SMD_HC49-SD,1,Crystal,
