Designator,Mid X,Mid Y,Rotation,Layer
C1,196.23,-114.2675,90.0,bottom
C10,165.65,-88.72,270.0,top
C11,176.62,-85.61,0.0,top
C12,172.73,-93.4275,90.0,bottom
C13,171.49,-107.7,180.0,bottom
C14,171.49,-105.53,180.0,bottom
C15,177.03,-95.75,90.0,bottom
C16,175.02,-95.95,270.0,bottom
C17,179.25,-95.75,90.0,bottom
C18,189.31,-93.39,270.0,top
C19,189.31,-84.84,270.0,top
C2,193.97,-114.25,90.0,bottom
C20,165.45,-110.3275,270.0,bottom
C21,163.29,-110.3275,270.0,bottom
C22,161.94,-103.0275,90.0,bottom
C23,159.18,-107.51,90.0,bottom
C3,182.35,-101.41,0.0,bottom
C4,195.31,-111.24,180.0,bottom
C5,193.66,-100.24,90.0,bottom
C6,170.7925,-90.87,0.0,top
C7,161.96,-98.23,90.0,top
C8,161.96,-102.88,270.0,top
C9,163.55,-88.72,270.0,top
D1,158.65,-120.3,0.0,top
D2,158.65,-123.3,0.0,top
D3,170.9,-93.53,180.0,top
D4,161.09,-80.06,90.0,top
D5,158.65,-117.3,0.0,top
D6,191.08,-82.125,90.0,bottom
D7,161.17,-107.24,270.0,bottom
F1,159.65,-81.3,270.0,top
FID1,198.07,-76.45,0.0,top
FID2,163.26,-123.43,0.0,top
FID3,163.26,-76.45,0.0,top
J1,179.18,-62.21,180.0,top
J2,164.735,-99.25,180.0,top
J3,198.605,-90.35,0.0,top
J4,158.635,-111.1025,270.0,top
L1,178.26,-92.07,0.0,top
Q1,170.806999,-80.3,270.0,top
Q2,174.89,-109.86,270.0,top
Q3,174.82,-106.36,90.0,top
R1,182.35,-103.47,180.0,bottom
R10,159.88,-82.59,0.0,bottom
R11,159.88,-83.75,180.0,top
R12,179.59,-86.61,270.0,top
R13,176.6,-83.58,180.0,top
R14,162.65,-117.3,0.0,bottom
R15,178.03,-98.72,180.0,bottom
R16,192.42,-78.795,270.0,bottom
R17,171.65,-113.22,270.0,top
R18,174.84,-103.64,180.0,top
R19,174.93,-112.56,180.0,top
R2,191.59,-100.2,270.0,bottom
R3,178.05,-113.91,0.0,bottom
R4,178.05,-111.85,0.0,bottom
R5,162.65,-120.3,0.0,bottom
R6,162.65,-123.3,0.0,bottom
R7,164.15,-85.29,180.0,top
R8,176.6,-87.68,0.0,top
R9,159.88,-78.69,0.0,bottom
RV1,177.2,-80.54,0.0,top
SW1,175.06,-99.86,180.0,top
SW2,184.42,-91.53,270.0,top
SW3,156.21,-99.55,270.0,top
U1,190.16,-108.745,180.0,top
U2,170.76,-87.05,180.0,top
U3,170.4275,-99.91,90.0,bottom
U4,184.95,-82.095,90.0,bottom
U5,187.23,-90.83,270.0,bottom
U6,169.78,-107.79,90.0,top
Y1,193.1,-90.18,270.0,top
